,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.25,0.22,0.9,0.86,0.88
0.65,0.26,0.21,0.9,0.92,0.91
0.70,0.18,0.19,0.89,0.96,0.93
0.75,0.12,0.16,0.89,0.98,0.93
0.80,0.06,0.11,0.88,0.99,0.94
0.85,0.01,0.07,0.88,1.0,0.93
0.90,-0.03,0.04,0.88,1.0,0.93
max
0.60,0.25,0.22,0.9,0.86,0.88
0.65,0.26,0.21,0.9,0.92,0.91
0.70,0.18,0.19,0.89,0.96,0.93
0.75,0.12,0.16,0.89,0.98,0.93
0.80,0.06,0.11,0.88,0.99,0.94
0.85,0.01,0.07,0.88,1.0,0.93
0.90,-0.03,0.04,0.88,1.0,0.93
min
0.60,0.25,0.22,0.9,0.86,0.88
0.65,0.26,0.21,0.9,0.92,0.91
0.70,0.18,0.19,0.89,0.96,0.93
0.75,0.12,0.16,0.89,0.98,0.93
0.80,0.06,0.11,0.88,0.99,0.94
0.85,0.01,0.07,0.88,1.0,0.93
0.90,-0.03,0.04,0.88,1.0,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 4331.91 seconds
