,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.92,0.0,0.01
0.70,0.03,0.0,0.92,0.25,0.4
0.80,0.22,0.21,0.9,0.96,0.93
0.85,0.06,0.1,0.88,0.99,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.92,0.0,0.01
0.70,0.03,0.0,0.92,0.25,0.4
0.80,0.22,0.21,0.9,0.96,0.93
0.85,0.06,0.1,0.88,0.99,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.92,0.0,0.01
0.70,0.03,0.0,0.92,0.25,0.4
0.80,0.22,0.21,0.9,0.96,0.93
0.85,0.06,0.1,0.88,0.99,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 1933.41 seconds
